packet_id,src_cn_node,dst_cn_node,time_s,distance_m,rx_power_dbm,path_loss_db,delay_ms,delivered,drop_reason,scenario_id,truth_boundary
NS3_PKT_000031,CN_001,CN_028,2100.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D0_central_online,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000032,CN_001,CN_028,2100.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D0_central_online,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000033,CN_001,CN_028,2400.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D0_central_online,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000034,CN_001,CN_028,2400.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D0_central_online,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000035,CN_001,CN_028,2400.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D0_central_online,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000036,CN_001,CN_028,2400.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D0_central_online,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000037,CN_001,CN_028,2700.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D0_central_online,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000038,CN_001,CN_028,2700.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D0_central_online,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000039,CN_001,CN_028,2700.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D0_central_online,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000040,CN_001,CN_028,2700.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D0_central_online,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000041,CN_001,CN_028,3000.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D0_central_online,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000042,CN_001,CN_028,3000.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D0_central_online,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000043,CN_001,CN_028,3000.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D0_central_online,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000044,CN_001,CN_028,3000.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D0_central_online,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000045,CN_001,CN_028,3300.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D0_central_online,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000046,CN_001,CN_028,3300.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D0_central_online,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000047,CN_001,CN_028,3300.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D0_central_online,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000048,CN_001,CN_028,3300.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D0_central_online,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000049,CN_001,CN_028,3600.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D0_central_online,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000050,CN_001,CN_028,3600.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D0_central_online,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000051,CN_001,CN_028,3600.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D0_central_online,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000052,CN_001,CN_028,3600.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D0_central_online,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000053,CN_001,CN_028,0.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000054,CN_001,CN_028,0.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000055,CN_001,CN_028,0.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000056,CN_001,CN_028,0.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000057,CN_001,CN_028,300.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000058,CN_001,CN_028,300.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000059,CN_001,CN_028,300.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000060,CN_001,CN_028,300.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000061,CN_001,CN_028,600.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000062,CN_001,CN_028,600.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000063,CN_001,CN_028,600.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000064,CN_001,CN_028,600.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000065,CN_001,CN_028,900.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000066,CN_001,CN_028,900.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000067,CN_001,CN_028,900.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000068,CN_001,CN_028,900.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000069,CN_001,CN_028,1200.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000070,CN_001,CN_028,1200.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000071,CN_001,CN_028,1200.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000072,CN_001,CN_028,1200.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
NS3_PKT_000073,CN_001,CN_028,1500.000000,5099.019514,-106.779840,146.779840,0.699675,1,delivered,D1_intermittent_central,ns3_log_distance_rf_replay_not_mac_or_interference_validation
